,dzielnica,powierzchnia,lPokoi,powierzchniaDzialki,rodzajZabudowy,materialBudynku,rokBudowy,stanWykonczenia,okna,rynek,lPieter,cena
4647,Dom na sprzedaż mazowieckie legionowski Skierdy ,175 m²,4,1 064 m²,wolnostojący,drewno,2022,do wykończenia,plastikowe,pierwotny,parterowy,930 000 zł
4648,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,450 m²,9,1 612 m²,wolnostojący,cegła,2002,,,wtórny,1 piętro,5 200 000 zł
4649,Dom na sprzedaż mazowieckie wołomiński Kobyłka ,"159,15 m²",5,500 m²,wolnostojący,inne,2021,,plastikowe,pierwotny,0,1 060 000 zł
4650,Dom na sprzedaż mazowieckie Warszawa Włochy Nowe Włochy ,300 m²,5,340 m²,,cegła,2007,,plastikowe,wtórny,0,1 599 000 zł
4651,Dom na sprzedaż mazowieckie Warszawa Praga-Południe ,295 m²,6,331 m²,szeregowiec,,1932,do zamieszkania,drewniane,wtórny,1 piętro,2 900 000 zł
4652,Dom na sprzedaż mazowieckie grójecki Stamirowice ,100 m²,3,19 400 m²,wolnostojący,pustak,1970,do remontu,drewniane,wtórny,0,299 000 zł
4653,Dom na sprzedaż mazowieckie pruszkowski Dawidy Bankowe ,120 m²,4,161 m²,szeregowiec,inne,2021,do wykończenia,plastikowe,pierwotny,1 piętro,719 000 zł
4654,Dom na sprzedaż mazowieckie Warszawa Wawer Zerzeń ,192 m²,6,325 m²,bliźniak,pustak,2000,,,wtórny,2 piętra,1 250 000 zł
4655,Dom na sprzedaż mazowieckie miński Sulejówek ,320 m²,5,1 325 m²,wolnostojący,cegła,2015,do zamieszkania,plastikowe,wtórny,1 piętro,1 787 000 zł
4656,Dom na sprzedaż mazowieckie Warszawa Mokotów Sadyba św. Bonifacego ,440 m²,10,708 m²,wolnostojący,,2003,,,wtórny,2 piętra,6 150 000 zł
4657,Dom na sprzedaż mazowieckie warszawski zachodni Lipków ul. Ignacego Mościckiego ,202 m²,6,497 m²,bliźniak,silikat,2021,do wykończenia,plastikowe,pierwotny,2 piętra,0
4658,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,196 m²,7,1 500 m²,,cegła,0,do wykończenia,plastikowe,wtórny,2 piętra,1 250 000 zł
4659,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,"135,80 m²",4,566 m²,wolnostojący,beton,2020,,plastikowe,wtórny,0,799 800 zł
4660,Dom na sprzedaż mazowieckie Warszawa Ursynów Pyry ,600 m²,więcej niż 10,851 m²,wolnostojący,cegła,2002,,,wtórny,3 piętra i więcej,4 200 000 zł
4661,Dom na sprzedaż mazowieckie warszawski zachodni Bramki ,100 m²,5,500 m²,bliźniak,inne,2021,do wykończenia,,wtórny,1 piętro,520 000 zł
4662,Dom na sprzedaż mazowieckie Warszawa Wawer ,270 m²,9,3 077 m²,wolnostojący,,0,do remontu,plastikowe,wtórny,3 piętra i więcej,2 420 000 zł
4663,Dom na sprzedaż mazowieckie Radom ,220 m²,6,1 575 m²,wolnostojący,cegła,2000,do zamieszkania,aluminiowe,wtórny,1 piętro,1 150 000 zł
4664,Dom na sprzedaż mazowieckie Warszawa Wilanów ,209 m²,6,898 m²,bliźniak,cegła,2006,,plastikowe,wtórny,1 piętro,2 400 000 zł
4665,Dom na sprzedaż mazowieckie legionowski Legionowo ,"144,10 m²",4,200 m²,bliźniak,,1997,do zamieszkania,plastikowe,wtórny,1 piętro,750 000 zł
4666,Dom na sprzedaż mazowieckie otwocki Karczew ,300 m²,10,690 m²,wolnostojący,pustak,1990,do zamieszkania,,wtórny,2 piętra,845 000 zł
4667,Dom na sprzedaż mazowieckie Siedlce ,208 m²,6,542 m²,bliźniak,,1995,,,wtórny,0,469 000 zł
4668,Dom na sprzedaż mazowieckie Warszawa Białołęka ul. Podróżnicza ,"155,25 m²",5,100 m²,szeregowiec,silikat,2022,,plastikowe,pierwotny,2 piętra,0
4669,Dom na sprzedaż mazowieckie Warszawa ,420 m²,8,730 m²,wolnostojący,,1929,do zamieszkania,,wtórny,2 piętra,1 950 000 zł
4670,Dom na sprzedaż mazowieckie płoński Baboszewo ,80 m²,4,779 m²,wolnostojący,drewno,0,,drewniane,wtórny,0,400 000 zł
4671,Dom na sprzedaż mazowieckie pruszkowski Rusiec ul. Łąkowa ,"99,15 m²",3,2 647 m²,wolnostojący,cegła,1995,do zamieszkania,plastikowe,wtórny,1 piętro,795 000 zł
4672,Dom na sprzedaż mazowieckie płoński Joniec ,80 m²,3,938 m²,gospodarstwo,cegła,1975,,plastikowe,wtórny,0,250 000 zł
4673,Dom na sprzedaż mazowieckie grodziski Milanówek ,102 m²,4,620 m²,wolnostojący,,2021,do wykończenia,plastikowe,pierwotny,0,720 000 zł
4674,Dom na sprzedaż mazowieckie Warszawa Białołęka ul. Bliska ,140 m²,5,850 m²,wolnostojący,pustak,2021,do wykończenia,plastikowe,pierwotny,1 piętro,859 000 zł
4675,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki ,146 m²,6,353 m²,bliźniak,cegła,2009,do zamieszkania,plastikowe,wtórny,1 piętro,839 000 zł
4676,Dom na sprzedaż mazowieckie grodziski Żabia Wola ,295 m²,5,1 000 m²,wolnostojący,inne,2021,do wykończenia,plastikowe,pierwotny,0,849 900 zł
4677,Dom na sprzedaż mazowieckie Warszawa Włochy ,100 m²,4,534 m²,wolnostojący,cegła,1990,do zamieszkania,plastikowe,wtórny,1 piętro,1 250 000 zł
4678,Dom na sprzedaż mazowieckie pruszkowski Komorów ,110 m²,4,1 064 m²,wolnostojący,cegła,1950,do remontu,drewniane,wtórny,1 piętro,1 550 000 zł
4679,Dom na sprzedaż mazowieckie legionowski Serock ,"381,60 m²",4,3 300 m²,,,2003,do zamieszkania,plastikowe,wtórny,1 piętro,1 300 000 zł
4680,Dom na sprzedaż mazowieckie otwocki Lipowo Armii Krajowej ,226 m²,4,4 000 m²,wolnostojący,,2004,do zamieszkania,,wtórny,1 piętro,1 990 000 zł
4681,Dom na sprzedaż mazowieckie nowodworski Miękoszynek ,143 m²,3,1 000 m²,wolnostojący,cegła,2022,do wykończenia,plastikowe,pierwotny,parterowy,714 000 zł
4682,Dom na sprzedaż mazowieckie miński Mińsk Mazowiecki ,145 m²,6,1 655 m²,wolnostojący,cegła,1950,do zamieszkania,plastikowe,wtórny,1 piętro,980 000 zł
4683,Dom na sprzedaż mazowieckie Warszawa Ursynów ,"201,28 m²",4,542 m²,wolnostojący,cegła,2000,,,wtórny,1 piętro,1 990 000 zł
4684,Dom na sprzedaż mazowieckie Warszawa Ochota Szczęśliwice ,"259,10 m²",4,369 m²,bliźniak,pustak,1999,do zamieszkania,drewniane,wtórny,1 piętro,2 650 000 zł
4685,Dom na sprzedaż mazowieckie legionowski Serock ,310 m²,7,960 m²,wolnostojący,drewno,2002,do zamieszkania,plastikowe,wtórny,1 piętro,4 500 000 zł
4686,Dom na sprzedaż mazowieckie Warszawa Targówek Zacisze Koniczynowa ,472 m²,7,672 m²,,cegła,1998,do remontu,plastikowe,wtórny,2 piętra,1 750 000 zł
4687,Dom na sprzedaż mazowieckie wołomiński Marki Środkowa ,185 m²,4,105 m²,szeregowiec,inne,2021,,plastikowe,pierwotny,3 piętra i więcej,649 000 zł
4688,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,136 m²,5,813 m²,wolnostojący,cegła,2020,do wykończenia,,wtórny,1 piętro,685 000 zł
4689,Dom na sprzedaż mazowieckie Warszawa Wawer Międzylesie Ulanowska ,480 m²,8,900 m²,wolnostojący,inne,1991,do zamieszkania,,wtórny,1 piętro,2 500 000 zł
4690,Dom na sprzedaż mazowieckie Warszawa Wilanów ,415 m²,6,745 m²,bliźniak,,1993,do zamieszkania,drewniane,wtórny,2 piętra,3 700 000 zł
4691,Dom na sprzedaż mazowieckie płocki Pilichówko ,100 m²,4,10 060 m²,,,0,do remontu,plastikowe,wtórny,0,220 000 zł
4692,Dom na sprzedaż mazowieckie pruszkowski Brwinów ,190 m²,5,1 300 m²,wolnostojący,,0,,,wtórny,0,1 449 000 zł
4693,Dom na sprzedaż mazowieckie Warszawa Bielany Młociny ,"552,80 m²",więcej niż 10,691 m²,wolnostojący,cegła,1990,,,wtórny,1 piętro,2 600 000 zł
4694,Dom na sprzedaż mazowieckie grodziski Milanówek ,262 m²,5,955 m²,wolnostojący,cegła,2005,do zamieszkania,plastikowe,wtórny,1 piętro,1 299 000 zł
4695,Dom na sprzedaż mazowieckie piaseczyński Krzaki Czaplinkowskie ,230 m²,6,1 300 m²,wolnostojący,inne,2020,,plastikowe,pierwotny,0,860 000 zł
4696,Dom na sprzedaż mazowieckie piaseczyński Łazy ,125 m²,5,474 m²,wolnostojący,cegła,2020,do wykończenia,plastikowe,pierwotny,1 piętro,0
4697,Dom na sprzedaż mazowieckie piaseczyński Magdalenka ,220 m²,6,799 m²,bliźniak,cegła,2012,do zamieszkania,plastikowe,wtórny,1 piętro,1 200 000 zł
4698,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,370 m²,5,7 100 m²,,,2010,,,wtórny,0,7 000 000 zł
4699,Dom na sprzedaż mazowieckie Warszawa Wesoła ,565 m²,7,2 090 m²,wolnostojący,,0,,,wtórny,0,4 500 000 zł
4700,Dom na sprzedaż mazowieckie ciechanowski Ciechanów ,742 m²,więcej niż 10,650 m²,wolnostojący,cegła,2006,do zamieszkania,plastikowe,wtórny,1 piętro,2 600 000 zł
4701,Dom na sprzedaż mazowieckie legionowski Serock ,200 m²,4,800 m²,wolnostojący,,1990,do zamieszkania,plastikowe,wtórny,1 piętro,670 000 zł
4702,Dom na sprzedaż mazowieckie grodziski Grzegorzewice Świerkowa ,497 m²,więcej niż 10,120 000 m²,wolnostojący,,1993,,drewniane,wtórny,1 piętro,3 640 000 zł
4703,Dom na sprzedaż mazowieckie Warszawa Ursus Skorosze ,261 m²,5,521 m²,wolnostojący,inne,1999,,,wtórny,1 piętro,1 800 000 zł
4704,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ul. Kasztanowa ,"143,64 m²",4,252 m²,szeregowiec,beton komórkowy,2021,do wykończenia,plastikowe,pierwotny,1 piętro,609 000 zł
4705,Dom na sprzedaż mazowieckie wołomiński Strachówka ,70 m²,3,1 000 m²,,,1995,,,wtórny,1 piętro,133 000 zł
4706,Dom na sprzedaż mazowieckie piaseczyński Prace Duże ,354 m²,6,3 200 m²,,pustak,2010,do zamieszkania,plastikowe,wtórny,1 piętro,1 890 000 zł
4707,Dom na sprzedaż mazowieckie pruszkowski Sękocin Stary ul. Rolna ,"99,21 m²",3,150 m²,bliźniak,cegła,2021,do wykończenia,plastikowe,pierwotny,2 piętra,699 000 zł
4708,Dom na sprzedaż mazowieckie legionowski Nieporęt ,217 m²,6,214 m²,szeregowiec,,0,,,wtórny,0,750 000 zł
4709,Dom na sprzedaż mazowieckie wołomiński Kobyłka ,"98,45 m²",4,150 m²,szeregowiec,,2022,,plastikowe,pierwotny,1 piętro,620 000 zł
4710,Dom na sprzedaż mazowieckie wołomiński Marki ,150 m²,6,300 m²,bliźniak,,1985,,,wtórny,2 piętra,699 999 zł
4711,Dom na sprzedaż mazowieckie legionowski Wieliszew ,150 m²,5,450 m²,bliźniak,pustak,2020,do wykończenia,plastikowe,pierwotny,1 piętro,669 000 zł
4712,Dom na sprzedaż mazowieckie ostrołęcki Goworki ,"142,20 m²",4,1 120 m²,wolnostojący,pustak,2015,do zamieszkania,plastikowe,wtórny,parterowy,790 000 zł
4713,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,750 m²,9,2 800 m²,wolnostojący,,0,,,wtórny,0,7 900 000 zł
4714,Dom na sprzedaż mazowieckie pruszkowski Pruszków ,160 m²,4,70 m²,szeregowiec,inne,2021,do wykończenia,plastikowe,pierwotny,parterowy,799 000 zł
4715,Dom na sprzedaż mazowieckie grodziski Osowiec ,154 m²,5,590 m²,bliźniak,,2021,,plastikowe,pierwotny,1 piętro,795 000 zł
4716,Dom na sprzedaż mazowieckie Warszawa Wawer ,286 m²,5,2 341 m²,wolnostojący,cegła,2012,,drewniane,wtórny,parterowy,2 750 000 zł
4717,Dom na sprzedaż mazowieckie radomski Młodocin Mniejszy ,157 m²,4,3 400 m²,wolnostojący,,2002,do zamieszkania,plastikowe,wtórny,1 piętro,990 000 zł
4718,Dom na sprzedaż mazowieckie warszawski zachodni Stare Babice ,260 m²,6,820 m²,wolnostojący,pustak,2006,do zamieszkania,drewniane,wtórny,1 piętro,2 190 000 zł
4719,Dom na sprzedaż mazowieckie Warszawa Wawer Las ,132 m²,5,40 m²,szeregowiec,cegła,2021,do zamieszkania,plastikowe,wtórny,3 piętra i więcej,1 190 000 zł
4720,Dom na sprzedaż mazowieckie mławski Szydłowo ,80 m²,4,7 300 m²,wolnostojący,,0,do remontu,,wtórny,parterowy,450 000 zł
4721,Dom na sprzedaż mazowieckie Warszawa Wawer ,"276,70 m²",6,281 m²,szeregowiec,cegła,1998,do zamieszkania,plastikowe,wtórny,1 piętro,1 390 000 zł
4722,Dom na sprzedaż mazowieckie legionowski Łacha ,45 m²,3,975 m²,wolnostojący,inne,0,do remontu,,wtórny,0,250 000 zł
4723,Dom na sprzedaż mazowieckie Warszawa Wilanów Zawady Syta ,339 m²,7,850 m²,wolnostojący,cegła,2004,do zamieszkania,,wtórny,2 piętra,3 540 000 zł
4724,Dom na sprzedaż mazowieckie Warszawa Wilanów ,180 m²,5,1 181 m²,wolnostojący,cegła,1968,do remontu,plastikowe,wtórny,1 piętro,2 350 000 zł
4725,Dom na sprzedaż mazowieckie nowodworski Kazuń-Bielany ,200 m²,6,700 m²,wolnostojący,cegła,1960,do zamieszkania,plastikowe,wtórny,1 piętro,699 000 zł
4726,Dom na sprzedaż mazowieckie Warszawa Wilanów Kępa Zawadowska ,203 m²,5,600 m²,bliźniak,cegła,2020,do wykończenia,drewniane,pierwotny,0,1 640 000 zł
4727,Dom na sprzedaż mazowieckie miński Siennica ,125 m²,4,1 000 m²,wolnostojący,drewno,2011,do zamieszkania,,wtórny,parterowy,690 000 zł
4728,Dom na sprzedaż mazowieckie piaseczyński Magdalenka ,400 m²,7,1 600 m²,wolnostojący,,2006,,,wtórny,2 piętra,4 000 000 zł
4729,Dom na sprzedaż mazowieckie Warszawa Bielany ul. Wólczyńska ,"94,50 m²",4,100 m²,bliźniak,cegła,2005,do zamieszkania,plastikowe,wtórny,2 piętra,909 999 zł
4730,Dom na sprzedaż mazowieckie warszawski zachodni Kaputy ,"129,97 m²",4,344 m²,szeregowiec,,0,do wykończenia,plastikowe,pierwotny,1 piętro,758 440 zł
4731,Dom na sprzedaż mazowieckie warszawski zachodni Borzęcin Duży ,230 m²,3,1 100 m²,,,0,,,wtórny,0,1 200 000 zł
4732,Dom na sprzedaż mazowieckie grodziski Milanówek ,220 m²,6,2 209 m²,wolnostojący,cegła,1960,,,wtórny,1 piętro,1 600 000 zł
4733,Dom na sprzedaż mazowieckie legionowski Borowa Góra ,"229,98 m²",9,967 m²,wolnostojący,,1999,do zamieszkania,drewniane,wtórny,1 piętro,799 000 zł
4734,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,185 m²,4,0,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,2 piętra,690 000 zł
4735,Dom na sprzedaż mazowieckie Warszawa Ursus ,240 m²,7,215 m²,bliźniak,cegła,1989,do zamieszkania,drewniane,wtórny,2 piętra,1 800 000 zł
4736,Dom na sprzedaż mazowieckie warszawski zachodni Kaputy ,130 m²,4,350 m²,,,2021,do wykończenia,plastikowe,pierwotny,0,721 000 zł
4737,Dom na sprzedaż mazowieckie płocki Liwin ,200 m²,5,17 821 m²,dworek/pałac,,0,do zamieszkania,plastikowe,wtórny,1 piętro,495 000 zł
4738,Dom na sprzedaż mazowieckie piaseczyński Mieszkowo Malinowy Gaj ,"193,58 m²",6,0,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,920 000 zł
4739,Dom na sprzedaż mazowieckie Warszawa Mokotów ,233 m²,5,268 m²,szeregowiec,,2000,,,wtórny,2 piętra,2 700 000 zł
4740,Dom na sprzedaż mazowieckie Warszawa Ursynów Natolin ,180 m²,5,190 m²,szeregowiec,pustak,2000,do wykończenia,,wtórny,2 piętra,2 400 000 zł
4741,Dom na sprzedaż mazowieckie warszawski zachodni Lipków ul. Józefa Paschalisa Jakubowicza ,"173,20 m²",5,"86,50 m²",szeregowiec,,2021,do wykończenia,,pierwotny,1 piętro,0
4742,Dom na sprzedaż mazowieckie piaseczyński Piaseczno Strumykowa ,130 m²,5,0,,cegła,2003,,plastikowe,wtórny,3 piętra i więcej,780 000 zł
4743,Dom na sprzedaż mazowieckie piaseczyński Piaseczno Słowicza ,390 m²,6,512 m²,bliźniak,,2005,,,wtórny,2 piętra,1 049 000 zł
4744,Dom na sprzedaż mazowieckie miński Cegłów ,100 m²,3,1 000 m²,wolnostojący,inne,1960,,plastikowe,wtórny,parterowy,499 000 zł
4745,Dom na sprzedaż mazowieckie Warszawa Targówek ,150 m²,5,185 m²,bliźniak,,2017,do zamieszkania,plastikowe,wtórny,2 piętra,1 380 000 zł
4746,Dom na sprzedaż mazowieckie Warszawa Bielany Radiowo ,160 m²,5,303 m²,szeregowiec,pustak,2005,do zamieszkania,,wtórny,0,2 000 000 zł
4747,Dom na sprzedaż mazowieckie wyszkowski Stare Bosewo ,130 m²,7,700 m²,wolnostojący,pustak,1984,do zamieszkania,drewniane,wtórny,2 piętra,405 000 zł
4748,Dom na sprzedaż mazowieckie piaseczyński Komorniki ,165 m²,4,11 305 m²,wolnostojący,pustak,2011,do zamieszkania,,wtórny,1 piętro,1 450 000 zł
4749,Dom na sprzedaż mazowieckie sochaczewski Kuznocin ,"223,80 m²",6,1 002 m²,wolnostojący,pustak,2014,do zamieszkania,brak,wtórny,parterowy,1 250 000 zł
4750,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,110 m²,4,145 m²,,beton komórkowy,2010,,plastikowe,wtórny,0,650 000 zł
4751,Dom na sprzedaż mazowieckie legionowski Łajski ul. Leśna ,164 m²,5,700 m²,wolnostojący,pustak,2020,do wykończenia,plastikowe,pierwotny,1 piętro,0
4752,Dom na sprzedaż mazowieckie pruszkowski Raszyn ,80 m²,3,751 m²,wolnostojący,cegła,1979,,plastikowe,wtórny,1 piętro,749 000 zł
4753,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki ,180 m²,6,1 050 m²,wolnostojący,cegła,1964,do zamieszkania,plastikowe,pierwotny,1 piętro,800 000 zł
4754,Dom na sprzedaż mazowieckie grodziski Radonie ,134 m²,4,1 500 m²,wolnostojący,pustak,2007,do zamieszkania,plastikowe,wtórny,1 piętro,810 000 zł
4755,Dom na sprzedaż mazowieckie Warszawa Mokotów ,"208,09 m²",4,292 m²,,,2018,do zamieszkania,drewniane,pierwotny,2 piętra,3 950 000 zł
4756,Dom na sprzedaż mazowieckie wołomiński Nadma ,100 m²,4,640 m²,wolnostojący,inne,2004,,plastikowe,wtórny,0,620 000 zł
4757,Dom na sprzedaż mazowieckie Warszawa Wawer Anin ,240 m²,6,2 078 m²,wolnostojący,,0,do remontu,plastikowe,wtórny,1 piętro,1 399 000 zł
4758,Dom na sprzedaż mazowieckie grodziski Osowiec ,156 m²,7,1 000 m²,,,0,,,wtórny,0,1 330 000 zł
4759,Dom na sprzedaż mazowieckie ostrołęcki Olszewo-Borki ,"312,30 m²",5,1 794 m²,wolnostojący,pustak,1999,,,wtórny,1 piętro,1 494 000 zł
4760,Dom na sprzedaż mazowieckie Warszawa Bielany ,240 m²,5,555 m²,wolnostojący,cegła,2007,do zamieszkania,,wtórny,2 piętra,2 200 000 zł
4761,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,240 m²,5,1 050 m²,wolnostojący,beton komórkowy,2019,,aluminiowe,wtórny,1 piętro,2 390 000 zł
4762,Dom na sprzedaż mazowieckie Radom Halinów ,160 m²,5,408 m²,bliźniak,cegła,1983,do zamieszkania,drewniane,wtórny,2 piętra,650 000 zł
4763,Dom na sprzedaż mazowieckie pruszkowski Słomin ,166 m²,5,505 m²,bliźniak,,2021,do wykończenia,drewniane,pierwotny,1 piętro,1 060 970 zł
4764,Dom na sprzedaż mazowieckie wołomiński Jasienica ,80 m²,3,16 000 m²,wolnostojący,,0,,,wtórny,parterowy,350 000 zł
4765,Dom na sprzedaż mazowieckie Warszawa Wilanów ul. Chorągwi Pancernej ,"287,70 m²",6,738 m²,wolnostojący,,0,do zamieszkania,,wtórny,2 piętra,3 500 000 zł
4766,Dom na sprzedaż mazowieckie warszawski zachodni Dąbrowa ,125 m²,4,400 m²,bliźniak,,2021,,plastikowe,pierwotny,0,890 000 zł
4767,Dom na sprzedaż mazowieckie pruszkowski Dawidy Bankowe ,"175,39 m²",5,363 m²,szeregowiec,cegła,2021,do wykończenia,plastikowe,pierwotny,2 piętra,870 000 zł
4768,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki ,280 m²,6,900 m²,wolnostojący,,0,do zamieszkania,plastikowe,wtórny,1 piętro,850 000 zł
4769,Dom na sprzedaż mazowieckie pułtuski Pułtusk ,320 m²,0,800 m²,kamienica,cegła,1885,,drewniane,wtórny,0,550 000 zł
4770,Dom na sprzedaż mazowieckie Warszawa Targówek Bródno ,250 m²,5,535 m²,szeregowiec,cegła,2002,do zamieszkania,plastikowe,wtórny,3 piętra i więcej,1 380 000 zł
4771,Dom na sprzedaż mazowieckie ostrołęcki Łodziska ,"86,24 m²",1,2 591 m²,wolnostojący,pustak,2011,stan surowy zamknięty,,wtórny,parterowy,398 000 zł
4772,Dom na sprzedaż mazowieckie grodziski Żabia Wola ,220 m²,6,800 m²,wolnostojący,,2002,do zamieszkania,drewniane,wtórny,0,830 000 zł
4773,Dom na sprzedaż mazowieckie piaseczyński Piaseczno ,149 m²,5,500 m²,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,750 000 zł
4774,Dom na sprzedaż mazowieckie warszawski zachodni Kaputy ,"166,20 m²",5,1 290 m²,wolnostojący,,2021,,plastikowe,pierwotny,1 piętro,1 124 946 zł
4775,Dom na sprzedaż mazowieckie pruszkowski Walendów ,280 m²,5,1 000 m²,wolnostojący,,2008,,,wtórny,1 piętro,2 090 000 zł
4776,Dom na sprzedaż mazowieckie Warszawa Wawer Wygodna ,280 m²,7,983 m²,wolnostojący,,1983,,plastikowe,wtórny,3 piętra i więcej,1 999 000 zł
4777,Dom na sprzedaż mazowieckie wołomiński Wołomin ,247 m²,4,1 500 m²,wolnostojący,,2020,,plastikowe,wtórny,parterowy,2 200 000 zł
4778,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,294 m²,8,966 m²,wolnostojący,cegła,1988,do zamieszkania,,wtórny,1 piętro,2 400 000 zł
4779,Dom na sprzedaż mazowieckie mławski Windyki ,200 m²,5,0,,,0,,,wtórny,0,630 000 zł
4780,Dom na sprzedaż mazowieckie nowodworski Kazuń Nowy ,264 m²,8,1 370 m²,wolnostojący,,2009,do zamieszkania,,wtórny,1 piętro,990 000 zł
4781,Dom na sprzedaż mazowieckie otwocki Glinianka ,328 m²,7,2 452 m²,wolnostojący,pustak,2010,,,wtórny,1 piętro,1 585 000 zł
4782,Dom na sprzedaż mazowieckie Warszawa Ursynów Krasnowolska ,300 m²,5,20 m²,szeregowiec,cegła,2000,do zamieszkania,drewniane,wtórny,0,1 300 000 zł
4783,Dom na sprzedaż mazowieckie Płock Podolszyce ,175 m²,9,357 m²,szeregowiec,inne,1999,do zamieszkania,plastikowe,wtórny,2 piętra,819 000 zł
4784,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki ul. Marii Curie-Skłodowskiej ,"98,16 m²",4,"21,08 m²",,,2021,,,pierwotny,0,0
4785,Dom na sprzedaż mazowieckie Warszawa Ursynów ul. Katarynki ,138 m²,4,458 m²,bliźniak,,2021,do wykończenia,,pierwotny,1 piętro,1 290 000 zł
4786,Dom na sprzedaż mazowieckie Warszawa Ursynów ,"130,41 m²",4,261 m²,bliźniak,pustak,2021,do wykończenia,plastikowe,pierwotny,1 piętro,1 222 798 zł
4787,Dom na sprzedaż mazowieckie pułtuski Głodowo ,151 m²,4,1 530 m²,wolnostojący,,2019,do zamieszkania,,wtórny,1 piętro,720 000 zł
4788,Dom na sprzedaż mazowieckie Warszawa Ursus ,159 m²,5,300 m²,,,0,do wykończenia,,pierwotny,0,990 000 zł
4789,Dom na sprzedaż mazowieckie piaseczyński Piaseczno ul. Różana ,174 m²,5,980 m²,wolnostojący,cegła,1969,do zamieszkania,plastikowe,wtórny,1 piętro,1 280 000 zł
4790,Dom na sprzedaż mazowieckie otwocki Józefów ul. Samorządowa ,"214,65 m²",5,500 m²,bliźniak,beton komórkowy,2021,do wykończenia,plastikowe,pierwotny,2 piętra,1 290 000 zł
